,pvalue,weighted_pvalue,log2FoldChange
Pcdh1,0.170020071,0.256043976,0.297606356
Asf1b,0.1701297,0.168529351,-0.231940669
Pde4c,0.170160273,0.235657811,-0.299581876
Cetn2,0.170231847,0.162381023,-0.135038069
Gm4865,0.170206658,0.279897647,0.274465569
Gpc1,0.170241753,0.133449981,-0.154990473
Fgfrl1,0.170308496,0.168706465,0.222362457
Rtl8c,0.170482321,0.168878655,0.21968968
Zbtb16,0.170459615,0.263655813,0.298703975
Rsad2,0.170583881,0.216514416,0.244122886
Naa20,0.170610416,0.166334223,0.142571719
Mfsd5,0.17068251,0.161801174,0.165182236
Slc25a19,0.170667578,0.152069781,0.175904133
Tceal8,0.170726781,0.280752968,0.297218425
Pex16,0.170850426,0.152232704,0.130368968
Trmt1l,0.170901487,0.156228539,0.167049776
AC166575.1,0.171135106,0.257723177,-0.295815296
Fitm2,0.171263697,0.218305506,0.235395172
Map6,0.171251376,0.291825758,0.298621523
Oxnad1,0.171244855,0.168900237,-0.166846271
Tars,0.171241102,0.1623307,0.130546632
Sh3bp4,0.171399268,0.163276904,0.285942789
Sem1,0.171485229,0.163576601,-0.15803619
Gm26749,0.171513831,0.265286405,-0.284557714
Erp29,0.171576769,0.152879897,0.137544408
Foxn3,0.171665492,0.159631498,-0.157299885
Parg,0.17172003,0.163800574,-0.143582042
Vamp2,0.171830859,0.14897699,0.200509851
Gm44746,0.17185423,0.256379999,-0.286387142
Sptbn2,0.171882471,0.25642213,0.296495624
Ifi211,0.171916474,0.260005426,0.287620501
Gfm1,0.171962503,0.221769387,0.16643409
Hoxa5,0.172031538,0.259073171,-0.293229857
Usp19,0.172045632,0.106255792,-0.109318494
Zfp384,0.172012253,0.221833546,-0.120633528
Cmya5,0.172102187,0.470237035,-0.286788233
Ubox5,0.172155503,0.167840583,0.203373496
Xlr,0.172138534,0.468336487,0.260916939
Armc6,0.172239428,0.169881193,0.180127045
Rhoh,0.172342545,0.105521665,-0.175172014
Gas6,0.172449379,0.471185672,0.292712379
Trav7d-3,0.172838213,0.144671905,-0.239780422
Zswim8,0.172835328,0.157996347,0.164076896
Ihh,0.172971594,0.267541178,-0.296358142
Snord104,0.172984518,0.177506738,-0.24247246
Cetn4,0.173188496,0.261929224,0.28707094
Gm13456,0.173236911,0.239918698,-0.267553339
Pifo,0.173277044,0.268013629,-0.294021017
Nr3c1,0.173325136,0.107046016,0.152386511
Rbbp8nl,0.17339674,0.261129115,-0.295268472
Imp4,0.173419829,0.107104499,-0.137929046
Lmnb1,0.173448221,0.164422973,0.20546976
Zc3h12b,0.173559393,0.2957588,-0.274605942
Gm26549,0.173645925,0.178185435,-0.229301979
Ifit3,0.173928382,0.169569026,0.24034138
Sh2d3c,0.173950031,0.106505894,0.191490967
Cracr2a,0.174028942,0.159324703,-0.204069426
Oaz1-ps,0.174113455,0.203144249,-0.245146881
Slc25a38,0.174044752,0.106190022,-0.149461632
Spsb3,0.174158285,0.17871119,0.153726869
Tnfrsf18,0.174132868,0.161925907,0.127121124
Washc1,0.17410696,0.172469198,-0.178708151
Znhit2,0.174305909,0.159516453,0.150737087
Erap1,0.174345822,0.108136187,-0.147349992
Cdca4,0.174460198,0.155449116,0.2032564
Gm22596,0.174437518,0.47661789,0.274245825
Rbbp4,0.174438424,0.106804927,-0.17367549
Stat6,0.174409065,0.108175413,0.137421547
Gm44694,0.174516099,0.166246033,0.274720832
Pdrg1,0.174521393,0.159537654,-0.165642027
Wipi1,0.174725723,0.264254116,0.294622497
Hist1h2bh,0.174785417,0.287427222,0.283634126
5730455P16Rik,0.174880545,0.171752741,0.205721194
Pcca,0.174929824,0.170545369,-0.174185891
Mpg,0.175180172,0.190850681,-0.174169981
Mtif2,0.175333798,0.160457128,0.134722355
LTO1,0.175443551,0.171046219,0.154064057
Cyb5r4,0.175638555,0.163326043,-0.149283772
Gm11423,0.175629267,0.19133995,-0.213424162
Scn7a,0.175605696,0.204885299,0.293888193
Sesn2,0.17561225,0.137659834,-0.209833903
Clip2,0.175738855,0.167410844,-0.263677205
Slc28a2,0.175766697,0.167660614,-0.174914311
Adpgk,0.175860283,0.161001308,-0.165191717
Fam120c,0.175840796,0.180437686,0.231182779
L3mbtl2,0.175845098,0.167298077,0.137409613
Sit1,0.175918194,0.167805125,0.167888883
Gm26724,0.175949313,0.27214692,0.27768974
Lcmt1,0.176035382,0.17437948,0.15706259
AC109138.8,0.176126018,0.243919871,0.252137687
Prr5l,0.176172087,0.180777638,0.274873203
Vps36,0.176328434,0.163967561,0.129350856
Atp5k,0.176460502,0.157231445,-0.191943758
Tlr6,0.176551797,0.168185262,-0.247442099
Nfxl1,0.176610599,0.174949286,0.222032751
Smarcd1,0.176728109,0.161795809,-0.150911652
Cript,0.176817328,0.205327104,-0.146915718
Tmed10-ps,0.176858342,0.263845363,-0.275761261
Smg1,0.17693734,0.168337231,-0.16813623
Kif2a,0.176960293,0.181586449,-0.160724227
Mrpl54,0.177042246,0.162020618,-0.141306104
Txnl1,0.177180484,0.1690092,0.120249168
Phc2,0.177309214,0.10856265,-0.109371817
Armcx4,0.177359132,0.302233854,0.255575915
Focad,0.177405952,0.162416379,0.147831262
Gm29642,0.177514115,0.268471264,-0.280656738
Gtf3c6,0.17751333,0.162514684,-0.128108779
Mecp2,0.177708276,0.162630137,0.150822914
Gm9616,0.177792466,0.292372187,-0.273944331
Cisd1,0.177891193,0.176217834,0.204176145
Pkig,0.177999555,0.148992137,0.245522174
Sema3f,0.178084193,0.303469414,0.284539033
Nkapd1,0.178246652,0.163122833,-0.135030406
Lif,0.178535899,0.266348019,-0.291075116
Gm42722,0.178573871,0.208348373,-0.276596008
Gm45509,0.178679108,0.208471157,0.266999086
Rps3a2,0.178728924,0.247524679,-0.242172205
Zbtb1,0.178817447,0.170125954,0.154013431
Adck5,0.17884556,0.140194378,-0.178736493
Coa3,0.178940607,0.159441291,-0.196440767
Nfkbib,0.178944395,0.169633158,-0.174987291
Palm,0.178914235,0.177231253,0.265408478
Gm49336,0.178996865,0.140312984,0.139165627
Smug1,0.179091953,0.183773836,0.256162902
Uchl4,0.179129457,0.267233516,0.269915253
Slc22a21,0.179188355,0.271003374,0.279611754
Insig1,0.179236795,0.159705203,0.21941082
Rhot1,0.179250213,0.16668452,0.155491868
Ddx10,0.179302635,0.170587559,-0.132385167
Gm44777,0.17931212,0.248332357,0.272869091
Ipo11,0.179329882,0.159788147,-0.17655811
Gm33280,0.17952117,0.277671635,0.284129005
Zmynd19,0.179659785,0.175156778,-0.154044092
Bub1,0.179696582,0.150412611,-0.274398676
Nrm,0.179708654,0.177248153,0.187827882
Uprt,0.179878032,0.171353871,-0.253835026
Spon1,0.180296259,0.185009625,-0.282598673
Ppp1r12a,0.180489827,0.114488844,0.144778743
Cdc42,0.180523596,0.110530748,0.139073811
Zfp597,0.180569066,0.196721632,-0.184802874
Hist1h3a,0.180607448,0.172048721,0.264943308
Gcnt7,0.180749692,0.172184225,0.243455126
Mavs,0.180945355,0.110400291,0.198343319
Mtmr3,0.180941316,0.114775233,0.151015596
Mysm1,0.180903299,0.136426873,0.14531222
Pigf,0.180883549,0.230567687,0.194598359
Tpst2,0.181045817,0.156966339,0.145661896
Gm25835,0.181360639,0.197584014,-0.229189063
Gata2,0.181479669,0.309255571,0.287577889
Leo1,0.181485752,0.161709089,-0.179411546
Ccnh,0.181605872,0.166197031,-0.156983257
Slco2b1,0.181630102,0.49627028,0.27963185
Tfe3,0.181617307,0.177065236,-0.188043975
Spcs3,0.181690315,0.172236196,0.135512835
Tonsl,0.181747426,0.173365521,0.141623627
Ythdf1,0.18185822,0.11231607,-0.13620054
Cdc25b,0.181955713,0.211293995,-0.218450487
Mink1,0.181986559,0.137243805,0.16333636
Vsir,0.181980246,0.112871359,0.175160571
Rcan1,0.182039137,0.179546727,0.176687995
Gm24366,0.182382169,0.275833679,0.262081741
Gm19409,0.182631554,0.276210846,0.271950771
Sox7,0.182642925,0.282500162,0.274389869
Ppp2r2a,0.182855223,0.112931821,-0.136031155
Mettl14,0.182915329,0.178330725,-0.13912048
Stoml2,0.182977615,0.137991203,-0.127469379
Actr10,0.18305241,0.173527416,0.158321874
Vill,0.183193784,0.187982898,0.278727513
Pum2,0.183319141,0.143701152,-0.177309103
Serf2,0.183309437,0.11184269,-0.133899344
Deaf1,0.183471692,0.167904541,0.146918536
Fbxo11,0.183454765,0.17885664,0.186216339
Btg3,0.183590226,0.188389704,0.21574847
Micos10,0.183596536,0.213199381,-0.144819321
Paxip1,0.183586921,0.170717218,0.127236544
Slc35d3,0.183590846,0.27388922,-0.282919306
Ndor1,0.183658677,0.170783944,-0.148575926
Tshz1,0.183671399,0.174114196,0.145443944
Mapk9,0.183889565,0.16810151,0.123612137
Nuak2,0.183897889,0.234409991,-0.283576884
Hmgn5,0.184062155,0.18887397,0.197494407
Mrpl35,0.18422486,0.112401217,-0.148355127
Faap20,0.184333735,0.168693442,-0.148068859
C230038L03Rik,0.184421135,0.21517058,-0.270941695
7330423F06Rik,0.184534554,0.277902252,0.277746821
Wdr45,0.184526558,0.164418536,-0.172028437
Gm38160,0.184637239,0.255707204,-0.259992328
P2ry13,0.184619037,0.504436985,0.258964951
Ska3,0.184620958,0.189447381,-0.239032844
Gm42671,0.18468793,0.21548186,0.256906032
Hnrnpf,0.18471172,0.175100385,-0.144894522
Gm17251,0.184899483,0.201439421,-0.219101294
Prpf8,0.18495296,0.114715154,0.222998819
Uba5,0.184994597,0.169111668,0.155982747
Dnm2,0.18504718,0.114285578,-0.109567949
Dcn,0.185179748,0.155002221,0.277133131
Cdipt,0.185392203,0.113511692,-0.14545196
Pms2,0.185373783,0.11310221,-0.140970911
Nudt15,0.185461299,0.183716731,-0.226399661
Med4,0.185574055,0.239323363,-0.175894672
Cyb5b,0.185708394,0.177143816,0.153377535
Itpr3,0.18572079,0.117806963,0.160731741
Krt17,0.185703146,0.216666348,-0.283909602
Ace,0.185747163,0.235760485,0.270489579
Parp8,0.185844388,0.140153158,0.158223767
Acot6,0.185998286,0.316955649,-0.254408707
Gm33104,0.186134571,0.165851322,-0.211238007
Kctd6,0.186448789,0.203127318,-0.169454405
Hspa4l,0.186515213,0.177913426,0.209399354
Fgd5,0.186588134,0.280994868,0.269027373
Gm12932,0.186725172,0.21785878,0.245557942
Slc10a3,0.186674342,0.146331245,-0.149107768
Trim11,0.186710429,0.216815354,0.159995531
Rp2,0.186871422,0.185113589,0.204440629
Ninj1,0.186902673,0.166535724,0.203415023
Gm20163,0.186959911,0.307447663,-0.258938309
Sae1,0.186988763,0.114489232,0.132661505
Rtcb,0.187211705,0.217397455,-0.122208199
Hnrnpul2,0.187287507,0.185525761,-0.189642813
Ppwd1,0.187281571,0.18393197,0.183053333
Map3k9,0.187471392,0.204241396,-0.25730598
Oas3,0.187581158,0.178930211,0.201762885
Mmp2,0.187824077,0.260120709,0.279783352
Cpt2,0.187976148,0.192890284,0.215495701
Anp32e,0.188064634,0.116149165,-0.145732011
Gemin2,0.188245823,0.186475062,0.165881251
Rap1gap2,0.188380922,0.19330564,0.237993628
Cald1,0.188502687,0.281216929,0.278069772
Dll1,0.188722469,0.515648847,0.260906315
Mre11a,0.188780133,0.184048532,0.153052053
Gatd1,0.188825167,0.184092438,-0.173647996
Cdk5rap1,0.188930426,0.193869509,-0.16976161
Tcf4,0.18898531,0.187207593,0.232559601
Pex14,0.189413356,0.184665884,0.150331558
Arrdc3,0.189555679,0.18081367,0.197415452
Cluap1,0.189547056,0.206502736,-0.191871102
Efl1,0.189581097,0.115669221,0.133119053
Dnajc11,0.189680363,0.220264156,-0.127579796
2610008E11Rik,0.189770459,0.185014037,0.160687191
Fam171b,0.18977897,0.518535536,0.279379169
Gm44264,0.189776131,0.293533339,-0.261619896
Wdr11,0.189728733,0.148725536,0.16153927
4833445I07Rik,0.189842511,0.262916071,0.26066456
Rce1,0.189848988,0.17354928,0.111917957
Gm10863,0.189933686,0.263042342,0.255215715
Mir677,0.189918532,0.518916865,-0.237962424
Clec1a,0.190036414,0.312506842,0.240201748
Nckipsd,0.190028385,0.187426589,0.148086766
Impa1,0.190229188,0.181456118,0.186280106
Fuz,0.190305533,0.207329061,-0.175955944
Bud23,0.190384643,0.245527279,-0.127224525
Gm44597,0.190458862,0.28413524,-0.264154092
Gm10254,0.190519071,0.520557725,-0.248663759
Tbc1d19,0.190510998,0.207552906,-0.220529255
Mterf1a,0.190842526,0.20791409,-0.226209557
Kiz,0.190877447,0.116460164,0.158658889
Ptpdc1,0.190963679,0.159843582,-0.23766212
Cops8,0.19108602,0.22189646,-0.130944917
Gimap9,0.191163193,0.117045146,-0.162270401
Ulk3,0.191518913,0.181553371,0.133354828
1110004F10Rik,0.191834871,0.181852888,-0.113395397
Sh2d4b,0.191918012,0.524380068,0.26609163
Reep1,0.191960235,0.290319487,-0.278156889
Zfp207,0.192230977,0.119229269,0.166907405
Ddx18,0.192444306,0.183569078,-0.132577023
Pcgf6,0.192462069,0.150868158,0.137414489
Bace1,0.192831927,0.197873004,-0.19510681
Dnajb9,0.192810214,0.18277748,-0.191406504
Exd2,0.192763982,0.176214004,-0.133622121
Sptb,0.192820094,0.290379972,0.276414093
Nup62,0.192903074,0.184006689,0.127582602
Wdr45b,0.193026896,0.22415028,-0.183589936
4933417C20Rik,0.193094014,0.225289531,0.260480895
Fam169a,0.193243854,0.291018138,-0.259375844
Hist1h4h,0.193207592,0.225422046,0.248322842
Rbm18,0.193232315,0.179686456,-0.149565472
Gm38257,0.193449733,0.191630021,-0.250129541
Gm10288,0.193499807,0.291403595,-0.258491341
Gm1976,0.193538004,0.528806394,-0.243338
Serpinb2,0.193669036,0.318480534,-0.270511217
Esr1,0.19376064,0.268342355,-0.25706726
Sugp1,0.193829516,0.184890405,0.105583051
Gm42783,0.193910305,0.211256293,-0.23312724
Gm26887,0.194083987,0.53029819,0.249343177
Pcdhgb6,0.194101394,0.226464877,-0.265137223
Kif21b,0.194212396,0.123193384,-0.142697901
Hmox2,0.194266147,0.173096793,-0.193857678
Alpk2,0.194323018,0.319555981,0.274048895
Gm11767,0.194313697,0.293878849,-0.261961976
Cnot3,0.194532627,0.178095969,0.140185801
Eif2b2,0.194446374,0.185478815,-0.102789844
Ifih1,0.194502249,0.191839199,0.191354444
Snf8,0.194558781,0.177854708,0.124397164
Gm41077,0.194775449,0.331912621,0.250643481
Rbsn,0.194847967,0.178119066,0.166471473
Kcnh4,0.194882034,0.530214618,-0.263015559
Evc,0.19517346,0.320954497,-0.27514265
Hnrnpd,0.195251205,0.121102534,-0.124449538
A630001O12Rik,0.195328286,0.302121051,-0.274860316
Crnde,0.195366474,0.302180118,0.26356708
Pex11b,0.195390322,0.200498282,0.173506328
C1s1,0.195497572,0.294412155,0.271015064
Ncoa5,0.195629165,0.186607057,-0.176497319
Plppr3,0.195652185,0.249392894,-0.201248223
Usp27x,0.195859048,0.228515592,0.263247845
Bola3,0.195911553,0.119531626,-0.140431734
Gm5608,0.195934772,0.322206442,-0.272228644
Ddx3y,0.19600992,0.121573119,0.132321911
Nxn,0.19602676,0.213562074,-0.230020124
9430015G10Rik,0.196055729,0.179223134,-0.181991654
Tigd2,0.196299382,0.187246364,-0.14752046
Btrc,0.196424362,0.191501166,0.1503983
Slc10a1,0.196465687,0.536805741,0.251308186
B430306N03Rik,0.19650759,0.214085916,-0.271175949
Kmt5a,0.196557636,0.182778668,0.144404708
Gucy1a1,0.196652951,0.297416722,-0.273706748
Nt5dc1,0.196699943,0.180080162,0.134985474
Brpf1,0.196894544,0.228641542,0.119411838
Pcif1,0.196897616,0.121604436,0.115728697
Maf1,0.196950509,0.121637103,-0.13764291
6430550D23Rik,0.197040723,0.536087755,0.235724521
Gm6180,0.197015972,0.536020412,-0.246866638
Zfp472,0.197058875,0.120231642,0.15723666
Cep19,0.197149692,0.202303646,-0.199505309
Grtp1,0.197240426,0.298305216,-0.249838596
2010300C02Rik,0.197458642,0.165280104,-0.223787046
Hibch,0.197434752,0.202596159,-0.175117478
Srrd,0.197430379,0.193899263,0.162259817
Zfp169,0.197497405,0.25174495,0.222714476
Gm11349,0.19756715,0.324890819,-0.251540706
Zfp189,0.197594897,0.20276049,0.200492771
Ppp3cb,0.197790291,0.192832859,0.138095407
Slc5a10,0.198046929,0.306326071,0.257130879
Psmb7,0.198084118,0.120857174,-0.16562973
Adgrg5,0.198196684,0.122406743,-0.1831677
Mastl,0.198197282,0.215926757,0.240684871
Coq3,0.198298275,0.251691044,0.207432496
Znhit1,0.198301,0.216039753,0.163876631
Cbfb,0.198335105,0.188014887,0.153884158
B330016D10Rik,0.19838619,0.188984954,-0.230088557
Strbp,0.198457818,0.149665482,-0.173720032
Chd4,0.19880303,0.23085775,-0.135709424
Gm45223,0.198762788,0.196893098,0.246171564
Samd4b,0.198789949,0.256367083,0.14569636
Smc5,0.198759085,0.18196532,0.13683588
Zcchc14,0.198692443,0.216466212,0.242994098
Dcaf8,0.199178879,0.12195298,-0.149593099
Slc15a3,0.199383087,0.276128975,0.268480965
Wapl,0.199415969,0.123159777,-0.132432469
Akirin1,0.199470118,0.189090841,-0.152273636
Nrros,0.199455069,0.190256516,-0.197767494
Kcnab2,0.199589755,0.123793474,-0.139748099
Cyp4f16,0.199629446,0.197751603,0.230926367
Gm11427,0.199847575,0.190377087,0.222245887
Shcbp1,0.199809463,0.190340781,-0.252426678
Tmem158,0.199833629,0.546008011,-0.242354113
Evi5l,0.199880093,0.194870282,0.199303856
Trim7,0.200305501,0.302940816,0.270292335
Map2k5,0.200397026,0.183464867,-0.138728984
Uqcrfs1,0.200420036,0.186370308,-0.123635754
Gm20633,0.200458492,0.310056119,0.26525983
Mctp2,0.200496016,0.183282194,0.183123957
Mon1b,0.200705071,0.195674582,0.161507931
Zfp619,0.200813916,0.168088591,0.242461289
Rad51c,0.200848518,0.168117554,0.233407752
Mrpl9,0.200949372,0.183696628,-0.130979169
Fibcd1,0.201025273,0.278403266,-0.263671497
Atp6v1e1,0.201188663,0.233628038,0.108107517
Ndufaf4,0.201628826,0.196575185,-0.140760006
Ppp1r37,0.201736033,0.184619194,-0.143391609
Trav4-3,0.201724734,0.219769752,-0.219150196
Wsb1,0.201764555,0.125142372,-0.187254432
Gm26779,0.201790234,0.301039899,0.251643255
Gm14519,0.201819301,0.303932447,0.258118187
R3hdm4,0.20198458,0.191474465,-0.128929781
Itga5,0.202076048,0.25758123,-0.265273311
Dpp8,0.20222794,0.191705162,0.143316596
5830432E09Rik,0.202485624,0.220598706,0.195872538
Atpif1,0.202485823,0.200581111,0.160826817
Gm14051,0.202475992,0.236235812,-0.250553385
Dus2,0.202529389,0.180459582,-0.144951007
Pam,0.202561679,0.192962573,0.21165461
Dcaf5,0.202871456,0.18864988,0.152271009
Dbi,0.20293399,0.180820094,-0.160686218
Ube2g1,0.203008471,0.192445078,0.143062022
Hexim1,0.20314429,0.185907964,-0.20733201
Spg21,0.203137308,0.188897095,0.114961432
Psap,0.203258725,0.126069115,-0.209744005
Gm6904,0.203470633,0.237396294,-0.236905693
Rnf219,0.203530125,0.200743469,-0.165311688
Purb,0.203563921,0.193669616,0.170444959
Rab3il1,0.203787425,0.554443472,0.266680566
Ankle1,0.203909913,0.554776726,-0.259452278
Calhm6,0.203905908,0.198795193,-0.166797167
Evi5,0.203908665,0.237907362,0.252322172
Mrpl20,0.203923069,0.159852265,-0.131380908
Zfp78,0.204351296,0.209693517,0.227827119
Mccc1,0.204478951,0.124758857,-0.153208558
Lacc1,0.204545008,0.283277806,0.266131122
Cd164,0.204772547,0.126468012,0.134749732
Slc39a14,0.204765645,0.199633382,0.141821408
Slc35f6,0.204799845,0.124954644,-0.178517341
Brwd3,0.20484834,0.210203555,0.193192591
Rgs19,0.204890323,0.194931548,-0.157591716
Anxa9,0.205208079,0.309035822,0.265440047
Aste1,0.205224978,0.201554452,0.176303207
Lrrc57,0.205212473,0.200069011,0.163409772
Rars,0.205201311,0.264635419,-0.111962912
Eif3c,0.205391788,0.130284729,0.135008391
Spcs1,0.205369109,0.238482534,-0.146897503
Gm11808,0.205736873,0.311155191,-0.243746772
Helz,0.205751956,0.195045808,0.144664634
Slco2a1,0.205708556,0.240007358,0.257306649
Ghdc,0.20578599,0.211165717,0.226431234
Fut4,0.205971233,0.240313833,0.265276438
Ndufaf3,0.205975379,0.202291433,0.18242683
Scyl3,0.206176006,0.155486097,0.121326808
Ciart,0.206311325,0.161724383,0.188634844
4833403J16Rik,0.206348363,0.285775303,0.219959334
Gm43420,0.206433317,0.211829966,-0.250957275
Gm18852,0.20650104,0.285986747,0.244743944
Capns1,0.206618166,0.189160363,0.151016887
Sirt1,0.206645685,0.197115513,0.175434135
Brd3,0.206779122,0.126162261,-0.190468448
D730003I15Rik,0.206741299,0.204796557,0.191955125
Mcm5,0.20705882,0.19628467,-0.17288392
Mllt6,0.207149317,0.20195731,-0.204411899
Nab2,0.207159666,0.201967399,-0.235239795
Nudt17,0.207129183,0.311928934,0.258832646
Ccdc51,0.207202493,0.26411578,0.203589929
Plvap,0.207274553,0.17349638,0.255954272
Cox7b,0.207373571,0.19780983,-0.168357659
Il20rb,0.207381098,0.225932098,-0.214535016
Sgf29,0.207399737,0.162577574,0.14040107
Snx11,0.207410444,0.203700831,0.155701391
Dgat2,0.207458981,0.205507489,0.248979612
Gm31812,0.207463037,0.226021368,-0.234938454
Zfp568,0.207595331,0.263491378,0.195162417
Cdk9,0.207687231,0.193128062,-0.106008651
Gab2,0.207774692,0.28775065,0.251468338
Lyrm4,0.207781641,0.263727852,0.161659362
Slit3,0.207868932,0.341831664,-0.262761662
2610020C07Rik,0.207988786,0.20603231,0.23572487
Ncoa6,0.208060694,0.268322987,0.167276699
Ikbkg,0.208413706,0.268778246,-0.164052259
Map1lc3a,0.208444001,0.213893215,0.198178569
Trav16n,0.208472731,0.264605022,0.190529708
Zfp202,0.208447923,0.206487128,-0.229567454
Golph3l,0.208538119,0.205682896,0.213951898
Gm16754,0.208601785,0.314146618,0.247675541
Ino80d,0.208707343,0.203476285,0.176618451
Klhl2,0.208690471,0.203459836,-0.14265377
Lrrc8a,0.208699015,0.206735858,-0.221626062
Mff,0.208731089,0.242386595,-0.112941634
Smyd4,0.208714112,0.203482884,-0.16451851
Cbx3,0.208837417,0.206872958,-0.194751064
Fam20c,0.208929531,0.356032286,0.257016991
Napsa,0.208918023,0.26517021,0.261911057
Ppp1r18,0.208985896,0.132564554,0.139525778
Sgms1,0.209552159,0.199887944,0.195483057
Rpgr,0.209580173,0.228327889,0.22187781
Ccn1,0.209720727,0.357380546,0.261951041
Dtx3l,0.209769092,0.198853916,0.178733502
Psmd14,0.209788691,0.200113568,-0.14793919
Tmem216,0.209765246,0.228529518,0.213099251
Zdhhc12,0.209753824,0.207780744,0.147366302
Gm7776,0.210150217,0.317829905,-0.244765591
Pygm,0.210165745,0.208188791,-0.215615832
Cep63,0.210208726,0.158527342,0.135836329
Agrn,0.210401697,0.267053371,0.216652748
Erc1,0.210431086,0.215932247,0.194003726
Fbxl22,0.210416706,0.215917491,-0.227009409
Zfp667,0.210414331,0.229236665,-0.21063379
Qdpr,0.210549143,0.192684532,-0.13422333
Gm30881,0.210618526,0.314210349,0.25199335
Med7,0.21065823,0.268520721,-0.166804049
Gm26917,0.210789408,0.200543905,-0.256477249
Mipol1,0.210876972,0.267656616,0.158582424
Nphp1,0.210973217,0.292180341,0.255051328
Bicd2,0.211017606,0.200761012,0.132549056
Magoh,0.211152305,0.193311399,-0.15171614
Sf3a2,0.211159158,0.272318885,-0.133326744
Ltbr,0.211231963,0.35995581,0.259228354
Spon2,0.211449039,0.347718998,0.257323828
Lmbrd1,0.211493005,0.193335025,0.108822829
Terf1,0.211543935,0.12906942,0.135368271
Camk2b,0.211718509,0.217253326,-0.192131524
Faap24,0.211722528,0.21725745,0.151031854
Gm14966,0.211843706,0.293385896,0.228009081
Zfp90,0.212045724,0.217589096,0.231496334
Gba2,0.212155978,0.246363708,-0.160787948
Mea1,0.212169105,0.18904885,-0.122731628
Cep152,0.21228144,0.129519394,-0.163511071
Zfp946,0.212289476,0.177694054,0.217781214
Ldhd,0.212318133,0.294042937,0.25583454
Zc3h13,0.212340639,0.201291654,0.159648402
1700058P15Rik,0.212532447,0.294339744,-0.232778976
4930523C07Rik,0.212604557,0.1843277,0.202469068
BC043934,0.212485087,0.270849369,-0.151890059
Cadm1,0.212627796,0.320209642,0.260303689
Krtcap3,0.212602884,0.218160821,-0.173216041
Mcm6,0.212596886,0.131861013,0.148930843
Rdh13,0.212631827,0.231652524,-0.193419857
Osm,0.21280368,0.207469951,0.252514284
Spata2,0.212821432,0.20174743,-0.169497706
Gm19605,0.212907391,0.202818017,-0.224968597
Lsr,0.212901486,0.231946305,0.236871823
Rela,0.213039296,0.131573576,-0.150127087
Sec22a,0.213131465,0.210213351,0.142464501
Dock2,0.213240353,0.184878934,0.138086284
Ccdc58,0.213359092,0.2113521,-0.173435552
Mpv17l,0.213428348,0.350973888,0.247230196
Cnpy4,0.213858048,0.210033117,0.182838203
Otulin,0.213871577,0.248355927,0.119313088
Gm10557,0.2142813,0.212265633,0.208732903
P2rx7,0.214465332,0.273373537,-0.24081225
Fbxw7,0.214688979,0.130988307,-0.154542132
Bsdc1,0.214917108,0.196758102,-0.165034463
Clk4,0.214801437,0.133228362,0.132707822
Cystm1,0.214885767,0.220503384,0.237632946
Gm48604,0.21494283,0.320661544,0.250274455
Hmgb1-ps5,0.214782619,0.586853332,0.232531734
Polr3b,0.214864518,0.277097459,-0.140678636
Rgs14,0.21491445,0.133298457,0.143158424
Usp47,0.214780482,0.136240194,0.136938917
Zswim7,0.214930953,0.179905068,-0.206756945
Gm45819,0.215101213,0.32531776,0.253013584
Adgrd1,0.215150202,0.585358126,-0.251234984
Ccdc134,0.215303434,0.191841629,0.136932353
Gm13091,0.215400172,0.21337398,-0.204192571
Gm19585,0.215565752,0.278001796,-0.134351005
Map4k3,0.215852213,0.221495095,-0.159817148
Ppm1g,0.215966691,0.133381542,0.110011143
Pank2,0.216083006,0.250923924,0.142099761
Parvg,0.21610463,0.187362255,-0.130155035
Wdr48,0.216054675,0.162936021,0.144583982
Grcc10,0.21618995,0.214156329,-0.145252232
D430013B06Rik,0.216332968,0.327180659,-0.256130993
Kcnmb4os2,0.216408541,0.322848158,-0.252306282
Serinc5,0.216426322,0.212555456,-0.228456417
Clu,0.21663116,0.252751141,0.249800802
Cbwd1,0.216960907,0.236368857,-0.16732221
Mcm8,0.216961711,0.206680209,0.201384029
Fam161b,0.217010467,0.59294051,-0.234130298
Erbb3,0.217101834,0.23652239,0.210437243
H2-K2,0.217109997,0.211668334,-0.162718467
Gm37510,0.217303994,0.300947939,-0.243917329
Gm44686,0.21743492,0.207130993,-0.226412484
Igfbp6,0.217429561,0.324371362,0.250094543
Slc25a47,0.21740131,0.594008414,-0.246121646
Ndufs1,0.217483015,0.252549669,0.115723639
4930524O07Rik,0.217559453,0.594440512,-0.238304691
Lca5,0.217612078,0.215565079,0.21954927
Letm1,0.217611055,0.133238608,0.09694334
Ect2l,0.217835006,0.329452332,-0.250157806
Cenpw,0.217904669,0.223601207,0.182602377
Ruvbl2,0.21801379,0.199593136,-0.15247481
Rpsa-ps10,0.218482046,0.329025928,-0.235570619
Ap3m2,0.218636532,0.17138593,-0.120741327
Gm15931,0.218686567,0.359620806,0.243189194
Snapc3,0.218810696,0.213326407,-0.171147573
Tax1bp1,0.21883456,0.135729865,0.140529621
Trav1,0.218808193,0.216749943,-0.213748259
Xpo1,0.218803787,0.135710778,0.141083096
Vbp1,0.218878924,0.208240227,0.140184097
Cep164,0.218975406,0.224699935,-0.154702435
Snora41,0.219098105,0.255629412,-0.222109804
